# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     47.19     -30.43       5.97       0.00       0.00       0.00       0.70       0.24    5.696          './gold_soln_AV-procd_m57_8.sdf'    'AV-unprocessed.smi:11'
     43.99     -31.34       4.45       0.00       0.00       0.00       0.48       0.24    5.744          './gold_soln_AV-procd_m58_7.sdf'    'AV-unprocessed.smi:11'
     42.50     -38.99       0.44       1.00       0.00       0.00       0.56       0.31    5.847          './gold_soln_AV-procd_m59_4.sdf'    'AV-unprocessed.smi:11'
     38.41     -31.68       1.19       1.07       0.00       0.00       0.10       0.18    6.129         './gold_soln_AV-procd_m60_10.sdf'    'AV-unprocessed.smi:11'
     53.62     -45.51       2.03       0.93       0.00       0.00       0.40       0.04    2.835          './gold_soln_AV-procd_m61_2.sdf'    'AV-unprocessed.smi:12'
     53.09     -51.74       1.47       0.00       0.00       0.00       1.53       0.02    9.104         './gold_soln_AV-procd_m62_10.sdf'    'AV-unprocessed.smi:12'
     51.68     -50.06       1.00       0.00       0.00       0.00       0.70       0.02    9.031          './gold_soln_AV-procd_m63_6.sdf'    'AV-unprocessed.smi:12'
     48.01     -46.41       0.98       0.00       0.00       0.00       0.67       0.00    8.694          './gold_soln_AV-procd_m64_7.sdf'    'AV-unprocessed.smi:12'
     50.81     -43.13       2.94       0.00       0.00       0.00       0.57       0.00    8.942          './gold_soln_AV-procd_m65_8.sdf'    'AV-unprocessed.smi:12'
     50.22     -39.28       2.00       1.80       0.00       0.00       0.23       0.01    9.436          './gold_soln_AV-procd_m66_1.sdf'    'AV-unprocessed.smi:12'
     51.52     -48.32       1.99       0.00       0.00       0.00       1.40       0.02    9.254          './gold_soln_AV-procd_m67_9.sdf'    'AV-unprocessed.smi:12'
     51.59     -37.70       2.98       1.98       0.00       0.00       0.50       0.00    7.355          './gold_soln_AV-procd_m68_7.sdf'    'AV-unprocessed.smi:12'
     57.04     -51.95       2.90       0.00       0.00       0.00       2.03       0.45    9.632          './gold_soln_AV-procd_m69_6.sdf'    'AV-unprocessed.smi:13'
     46.80     -33.57       3.80       1.00       0.00       0.00       0.81       0.46    9.703          './gold_soln_AV-procd_m70_7.sdf'    'AV-unprocessed.smi:13'
     50.53     -45.32       2.00       0.00       0.00       0.00       0.59       0.40    9.613          './gold_soln_AV-procd_m71_8.sdf'    'AV-unprocessed.smi:13'
     50.79     -42.87       2.69       0.00       0.00       0.00       0.31       0.46    9.597          './gold_soln_AV-procd_m72_9.sdf'    'AV-unprocessed.smi:13'
     60.01     -51.49       3.00       0.00       0.00       0.00       0.46       0.41    9.621          './gold_soln_AV-procd_m73_5.sdf'    'AV-unprocessed.smi:13'
     50.97     -48.47       1.00       0.42       0.00       0.00       1.09       0.41    9.546          './gold_soln_AV-procd_m74_4.sdf'    'AV-unprocessed.smi:13'
     41.54     -32.44       2.00       1.79       0.00       0.00       1.41       0.48    2.934          './gold_soln_AV-procd_m75_1.sdf'    'AV-unprocessed.smi:13'
     44.97     -40.82       1.90       0.00       0.00       0.00       0.99       0.44    9.727          './gold_soln_AV-procd_m76_8.sdf'    'AV-unprocessed.smi:13'
     50.52     -45.36       3.00       0.00       0.00       0.00       2.54       1.07   16.011          './gold_soln_AV-procd_m77_7.sdf'    'AV-unprocessed.smi:14'
     54.86     -49.15       2.91       0.53       0.00       0.00       2.85       1.08   15.911          './gold_soln_AV-procd_m78_7.sdf'    'AV-unprocessed.smi:14'
     52.82     -47.65       1.99       0.00       0.00       0.00       0.73       0.46   12.807          './gold_soln_AV-procd_m79_4.sdf'    'AV-unprocessed.smi:15'
     51.62     -50.74       1.00       0.00       0.00       0.00       1.58       0.89   12.383          './gold_soln_AV-procd_m80_2.sdf'    'AV-unprocessed.smi:15'
     54.40     -46.82       2.78       0.00       0.00       0.00       0.84       0.89   12.254          './gold_soln_AV-procd_m81_4.sdf'    'AV-unprocessed.smi:15'
     54.71     -47.26       2.70       0.50       0.00       0.00       1.54       0.94   12.348          './gold_soln_AV-procd_m82_7.sdf'    'AV-unprocessed.smi:15'
     49.80     -45.53       2.00       0.00       0.00       0.00       1.32       0.90   12.228         './gold_soln_AV-procd_m83_10.sdf'    'AV-unprocessed.smi:15'
     53.52     -45.76       2.63       0.00       0.00       0.00       0.61       0.89   12.106          './gold_soln_AV-procd_m84_3.sdf'    'AV-unprocessed.smi:15'
     52.35     -46.56       2.27       0.82       0.00       0.00       2.06       0.60   12.406          './gold_soln_AV-procd_m85_3.sdf'    'AV-unprocessed.smi:15'
     50.55     -44.30       2.64       0.00       0.00       0.00       1.33       0.97   12.166          './gold_soln_AV-procd_m86_4.sdf'    'AV-unprocessed.smi:15'
     50.89     -37.25       3.71       0.97       0.00       0.00       0.54       0.65   13.186          './gold_soln_AV-procd_m87_6.sdf'    'AV-unprocessed.smi:16'
     49.08     -41.46       3.00       0.00       0.00       0.00       1.03       0.67   12.879          './gold_soln_AV-procd_m88_4.sdf'    'AV-unprocessed.smi:16'
     55.09     -45.73       2.77       0.92       0.00       0.00       1.15       0.61   12.756          './gold_soln_AV-procd_m89_9.sdf'    'AV-unprocessed.smi:16'
     50.25     -37.00       3.91       1.00       0.00       0.00       1.08       0.65   13.024          './gold_soln_AV-procd_m90_6.sdf'    'AV-unprocessed.smi:16'
     52.53     -40.72       4.00       0.00       0.00       0.00       0.40       0.56    6.431          './gold_soln_AV-procd_m91_4.sdf'    'AV-unprocessed.smi:16'
     50.43     -42.99       2.78       0.00       0.00       0.00       0.76       0.62   12.758          './gold_soln_AV-procd_m92_7.sdf'    'AV-unprocessed.smi:16'
     51.96     -41.99       2.72       1.00       0.00       0.00       0.99       0.68    9.051          './gold_soln_AV-procd_m93_1.sdf'    'AV-unprocessed.smi:16'
     51.01     -41.01       2.64       0.89       0.00       0.00       0.66       0.71    6.920          './gold_soln_AV-procd_m94_4.sdf'    'AV-unprocessed.smi:16'
     53.47     -42.47       2.92       1.10       0.00       0.00       1.00       0.93   12.931          './gold_soln_AV-procd_m95_5.sdf'    'AV-unprocessed.smi:16'
     52.85     -41.15       4.00       0.00       0.00       0.00       0.47       0.56    4.076          './gold_soln_AV-procd_m96_1.sdf'    'AV-unprocessed.smi:16'
